2025-08-19 22:43:52,035 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,041 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,042 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,042 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,042 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,042 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,042 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,042 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,042 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,042 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,043 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,061 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,061 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,061 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,061 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,061 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,062 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,062 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,062 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,062 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,062 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,062 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,062 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,062 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,063 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,063 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,063 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,063 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,063 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,063 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,063 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,063 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,064 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,064 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,064 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,064 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,064 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,064 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,065 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,065 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,065 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,065 INFO [探索] matcha latte cafe IL | start=21
2025-08-19 22:43:52,065 INFO [探索] matcha cafe IL | start=1
2025-08-19 22:43:52,065 INFO [探索] matcha cafe IL | start=11
2025-08-19 22:43:52,065 INFO [探索] matcha cafe IL | start=21
2025-08-19 22:43:52,065 INFO [探索] matcha latte cafe FL | start=1
2025-08-19 22:43:52,065 INFO [探索] matcha latte cafe FL | start=11
2025-08-19 22:43:52,065 INFO [探索] matcha latte cafe FL | start=21
2025-08-19 22:43:52,066 INFO [探索] matcha cafe FL | start=1
2025-08-19 22:43:52,066 INFO [探索] matcha cafe FL | start=11
2025-08-19 22:43:52,066 INFO [探索] matcha cafe FL | start=21
2025-08-19 22:43:52,066 INFO [探索] matcha latte cafe CA | start=1
2025-08-19 22:43:52,066 INFO [探索] matcha latte cafe CA | start=11
2025-08-19 22:43:52,066 INFO [探索] matcha latte cafe CA | start=21
2025-08-19 22:43:52,066 INFO [探索] matcha cafe CA | start=1
2025-08-19 22:43:52,066 INFO [探索] matcha cafe CA | start=11
2025-08-19 22:43:52,066 INFO [探索] matcha cafe CA | start=21
2025-08-19 22:43:52,066 INFO [探索] matcha latte cafe NY | start=1
2025-08-19 22:43:52,066 INFO [探索] matcha latte cafe NY | start=11
2025-08-19 22:43:52,067 INFO [探索] matcha latte cafe NY | start=21
2025-08-19 22:43:52,067 INFO [探索] matcha cafe NY | start=1
2025-08-19 22:43:52,067 INFO [探索] matcha cafe NY | start=11
2025-08-19 22:43:52,067 INFO [探索] matcha cafe NY | start=21
2025-08-19 22:43:52,067 INFO [探索] matcha latte cafe TX | start=1
2025-08-19 22:43:52,067 INFO [探索] matcha latte cafe TX | start=11
2025-08-19 22:43:52,067 INFO [探索] matcha latte cafe TX | start=21
2025-08-19 22:43:52,067 INFO [探索] matcha cafe TX | start=1
2025-08-19 22:43:52,067 INFO [探索] matcha cafe TX | start=11
2025-08-19 22:43:52,067 INFO [探索] matcha cafe TX | start=21
2025-08-19 22:43:52,067 INFO [探索] matcha latte cafe WA | start=1
2025-08-19 22:43:52,068 INFO [探索] matcha latte cafe WA | start=11
2025-08-19 22:43:52,068 INFO [探索] matcha latte cafe WA | start=21
2025-08-19 22:43:52,068 INFO [探索] matcha cafe WA | start=1
2025-08-19 22:43:52,068 INFO [探索] matcha cafe WA | start=11
2025-08-19 22:43:52,068 INFO [探索] matcha cafe WA | start=21
2025-08-19 22:43:52,068 INFO [探索] matcha latte cafe IL | start=1
2025-08-19 22:43:52,068 INFO [探索] matcha latte cafe IL | start=11
2025-08-19 22:43:52,068 INFO [探索] matcha latte cafe IL | start=21
